GAME_ID,EVENT_ID,INN_CT,TOTAL_INN,HOME_TEAM,OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,RUNNER_FIRST,RUNNER_SECOND,RUNNER_THIRD,PIT_ID,FULL_NAME,made_save,IP,sit_id,succ_rate,save_dif,year
CLE201107040,66,9,9,1,0,6,3,0,0,0,perec002,Chris Perez,True,1.0,090301.0,99.2,1.0080645161290323,2011
CLE201107060,77,9,9,1,0,5,1,0,1,1,perec002,Chris Perez,True,1.0,090421.0,50.0,2.0,2011
CLE201107090,80,10,10,0,0,4,5,0,0,0,camps002,Shawn Camp,True,1.0,100101.0,96.6,1.0351966873706004,2011
CLE201107250,55,8,9,1,0,1,0,0,0,0,pestv001,Vinnie Pestano,False,1.0,080101.0,29.4,-1.41643059490085,2011
CLE201107260,63,9,9,0,0,1,2,0,0,0,waldj001,Jordan Walden,True,1.0,090101.0,95.2,1.050420168067227,2011
CLE201107310,81,9,9,0,0,3,5,0,0,0,sorij001,Joakim Soria,True,1.0,090201.0,97.3,1.027749229188078,2011
CLE201108110,68,9,9,0,0,3,4,0,0,0,valvj001,Jose Valverde,True,1.0,090101.0,95.2,1.050420168067227,2011
CLE201108120,68,9,9,1,0,3,2,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2011
CLE201108130,69,9,9,1,0,3,1,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2011
CLE201108220,74,9,9,0,0,2,3,0,0,0,leagb001,Brandon League,True,1.0,090101.0,95.2,1.050420168067227,2011
CLE201108232,87,8,9,0,1,7,12,1,1,1,grayj002,Jeff Gray,True,1.67,081531.67,80.0,1.25,2011
CLE201108260,68,9,9,1,0,2,1,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2011
CLE201108270,75,9,9,1,0,8,7,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2011
CLE201108280,72,9,9,0,0,1,2,0,0,0,sorij001,Joakim Soria,True,1.0,090101.0,95.2,1.050420168067227,2011
CLE201108290,63,9,9,1,0,2,1,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2011
CLE201109050,70,9,9,0,0,2,4,0,0,0,valvj001,Jose Valverde,True,1.0,090201.0,97.3,1.027749229188078,2011
CLE201109070,57,7,9,1,0,4,3,1,1,1,sippt001,Tony Sipp,False,1.0,070131.0,50.0,-2.0,2011
CLE201109070,80,9,9,0,0,6,8,0,0,0,valvj001,Jose Valverde,True,1.0,090201.0,97.3,1.027749229188078,2011
